Stock_Name,Avg_Return,Return_Volatility,Avg_ATR_Pct,Worst_Drawdown60,Avg_Volume
ACES,0.20319269613635366,0.7532128245674982,0.5811391797251586,-0.74980386884277,46591055.72269457
ADRO,0.5540062709631409,1.5626642550912304,0.9787006514283588,-0.9232900912336294,92878888.22759974
AKRA,0.28410505925460305,0.9539215398028409,0.618235539274666,-0.8596020408902341,49271544.53891432
AMRT,0.31598963330359037,1.0145466262379277,0.6902918341543794,-0.8232848760474542,28594317.3969915
ANTM,0.33129077201351464,1.2120645740207854,0.6992283982166391,-0.9340000566654337,143167228.84238064
ASII,0.03683543567022275,0.2830584984011543,0.22313814681367647,-0.6815661890335032,49514481.621975146
BBCA,0.04484109325965359,0.31000855982923753,0.25918880108988723,-0.6066222102474762,99846199.7383911
BBNI,0.12503128708616226,0.5637415054109158,0.4031328271413604,-0.7528804178739288,69407554.61085677
BBRI,0.057111593933524836,0.36680831944511416,0.272178708018674,-0.7160563970125629,195535930.7527796
BMRI,0.16166256258035921,0.6492204844621579,0.4851989552041277,-0.7469154923993393,120600144.66971877
BRPT,0.17725079234012736,0.7676953633514405,0.6017097630843626,-0.8834086470170455,104680665.62851536
CPIN,0.014379042230542533,0.17370034455109,0.15049513258963912,-0.5123153481422463,7642082.2759973835
EXCL,0.030695865933044256,0.25968311603987526,0.21935977789432903,-0.7256434241006541,23191258.927403532
GGRM,0.22430011515739604,0.8276530998845505,0.5863866424301382,-0.8048836856436176,1430274.1661216482
ICBP,0.013330462209232759,0.16731439885417349,0.13879030147288696,-0.4515214831688896,7184452.256376717
INCO,0.10489330241236078,0.5302739303193086,0.3881086790248829,-0.8065310537566658,18371130.11641596
INDF,0.01862961591463938,0.19651799932890432,0.16996165473464753,-0.44220094280478395,9861999.869195553
INKP,0.046370490585360254,0.3366971407360192,0.24736723615658243,-0.781093985565125,7902472.334859385
INTP,0.06401391901251018,0.38486773708839717,0.2949825072730815,-0.6988947770748786,3154112.3610202745
ITMG,0.6479126069623857,1.8056427654028033,0.8866273182928227,-0.9058242490019005,2845242.8384565073
KLBF,0.034197182074418526,0.27176138733726496,0.23266374182507082,-0.6204114326936192,45469642.44604316
MAPI,0.14525100843980232,0.604203094064671,0.4899723460029359,-0.7388082766605,23011026.030085023
MEDC,0.3314990131792124,1.0103274638724202,0.7706202251407779,-0.8765538109673394,83238129.9646828
PGAS,0.100058056243502,0.49507490509747387,0.3967853830110538,-0.8200552090731534,87819215.89274035
PTBA,0.17415133818385653,0.6864705064911476,0.47249068434209474,-0.8184043015105815,29577266.90647482
SMGR,0.22179151338997774,0.8301221511923745,0.5612975734690925,-0.8155587020908954,11336760.894048398
TLKM,0.028404927749760712,0.24431695820489355,0.20764900695528155,-0.5128241989213198,115370087.63897972
UNTR,0.10394279725870074,0.5148751918467201,0.3866070651554663,-0.7695881354285925,4827112.688031393
UNVR,0.29442650059100217,0.9964633703202292,0.6772809732111673,-0.8581841371384273,23852610.595160235
