Date,Mean_Return,Avg_Volatility20
2020-01-02,0.09769220629015518,0.6484891805160371
2020-01-03,0.2455573767757859,0.6029527235953573
2020-01-06,0.026167992837956743,0.6637026368089317
2020-01-07,0.04779955904173452,0.6377583728769621
2020-01-08,0.05806989569571785,0.5691344634690012
2020-01-09,0.12294869435268754,0.6176933848168038
2020-01-10,0.04714219967748509,0.5959224119011367
2020-01-13,0.007601940484590941,0.6426997994397334
2020-01-14,0.06767259707133874,0.6192558724261328
2020-01-15,-0.014477627442502802,0.5964028619158243
2020-01-16,0.10961154177415809,0.6288357185503066
2020-01-17,0.08272345979794792,0.6676769188521309
2020-01-20,0.23062003990165417,0.7033288994929177
2020-01-21,0.14411270742081972,0.6140268946280569
2020-01-22,0.027078606737656562,0.6553447722765436
2020-01-23,0.18650903626737583,0.6202477018267861
2020-01-24,-0.025584924587746975,0.6000050229571023
2020-01-27,0.10872929409066388,0.6244111991296474
2020-01-28,-0.0032002318134042,0.710844157488063
2020-01-29,0.16347866277594517,0.6296148687353723
2020-01-30,0.11398695813365552,0.6706678174271762
2020-01-31,0.21591948155199597,0.6592398369048524
2020-02-03,0.09481829877344522,0.6173449382521178
2020-02-04,0.011239106516361041,0.6898925613145078
2020-02-05,0.024875540326182694,0.6369395608754291
2020-02-06,-0.09185280112468241,0.6451715035701241
2020-02-07,0.09029580627871132,0.6220098940916149
2020-02-10,0.12563280792086642,0.595610008334422
2020-02-11,-0.029231783072851913,0.6852367676836839
2020-02-12,-0.03511394410283257,0.6786209451263259
2020-02-13,0.004206863358972709,0.6568344898670799
2020-02-14,-0.00563377631656072,0.7206001096859713
2020-02-17,0.024811528104031297,0.6131124398408321
2020-02-18,0.041482648648309625,0.6383180654469087
2020-02-19,0.08246792499075702,0.6056765797698231
2020-02-20,-0.17478146028732827,0.6350017207190232
2020-02-21,-0.1161216208967808,0.5663024675328117
2020-02-24,-0.0331457256456353,0.6341933263220859
2020-02-25,0.004608190157612077,0.6374150346763178
2020-02-26,-0.013762666936189305,0.6054848700269695
2020-02-27,-0.1079667254826638,0.6709102008211612
2020-02-28,-0.06145098472887155,0.6410277777010188
2020-03-02,-0.05140249572855662,0.6474140287568237
2020-03-03,-0.009252158349333947,0.618823776521481
2020-03-04,-0.021630343762043876,0.6037681909594123
2020-03-05,0.026447512117486364,0.6307187297005977
2020-03-06,-0.1324102520397275,0.6033840721104112
2020-03-09,-0.042023712739855425,0.6432523926072867
2020-03-10,-0.21907328614698085,0.6413538537130776
2020-03-11,-0.10347252398619491,0.6447980647659968
2020-03-12,-0.1069763404089854,0.6412570956469575
2020-03-13,-0.17707989641501984,0.5848744287818161
2020-03-16,-0.11598699250821196,0.7408266226663744
2020-03-17,-0.3044583170823141,0.7097706130251358
2020-03-18,-0.22990935580916588,0.6506521215431237
2020-03-19,-0.40702806939922564,0.6291497046903727
2020-03-20,-0.37670457778624344,0.6450389560059069
2020-03-23,-0.41604743556093954,0.646502864265924
2020-03-24,-0.36401188234733034,0.6009341061643937
2020-03-26,-0.226680127512025,0.6399301017729684
2020-03-27,-0.2880078940343712,0.65984582578614
2020-03-30,-0.2717232977473979,0.6374481203387232
2020-03-31,-0.2358068487623808,0.662399740231538
2020-04-01,-0.3140252614886723,0.6792566599471258
2020-04-02,-0.34955648521677074,0.6572421304189221
2020-04-03,-0.18606244344536305,0.655826915323803
2020-04-06,-0.3037033668420322,0.6452796899991458
2020-04-07,-0.13974691819365528,0.6355494107120127
2020-04-08,-0.1660703651560692,0.6682169910284755
2020-04-09,-0.2498433463926342,0.6261184100041008
2020-04-13,-0.2509875936005782,0.6051663103688372
2020-04-14,-0.26730557371518915,0.6482345693104985
2020-04-15,-0.2161023215686815,0.6288419758902616
2020-04-16,-0.11857099338190477,0.6656596302371331
2020-04-17,-0.2699982184737145,0.6109917067192957
2020-04-20,-0.2605159530421986,0.6246384870599577
2020-04-21,-0.28267485185745944,0.6409468881892935
2020-04-22,-0.17259287771645734,0.6089615774493861
2020-04-23,-0.21524251990349283,0.5954407471604809
2020-04-24,0.005020522118315258,0.6707667859357109
2020-04-27,-0.2507786215898922,0.5858920892572863
2020-04-28,-0.33594540607971835,0.6710222200407023
2020-04-29,-0.15647020521016367,0.6115311634627209
2020-04-30,-0.009528270105993086,0.6319686754305592
2020-05-04,-0.1110921699235863,0.6065083761759487
2020-05-05,-0.25445056311761194,0.6071470785934107
2020-05-06,-0.24044433883958818,0.6172672240665934
2020-05-08,-0.19636491715216267,0.6218687828358226
2020-05-11,-0.11964796767823584,0.6342122871366322
2020-05-12,-0.06933348512797204,0.6035494177205921
2020-05-13,-0.20542127076522057,0.6277263498295973
2020-05-14,-0.06806884364598197,0.6439290724792086
2020-05-15,-0.027103643147053682,0.5976308277088349
2020-05-18,-0.08928933101938366,0.6318479056602929
2020-05-19,-0.1767744199394024,0.6222948616574232
2020-05-20,-0.1670187885629186,0.6260714385298873
2020-05-26,-0.19210090828042833,0.6887980966927454
2020-05-27,-0.2492795834208578,0.6306315284731202
2020-05-28,-0.2328644021275636,0.6350241334761346
2020-05-29,-0.0697537426533312,0.5866596073286252
2020-06-02,-0.07589671346838503,0.6052612819631692
2020-06-03,-0.046679404321890786,0.7264838484213716
2020-06-04,-0.25569344224811696,0.6568271692897063
2020-06-05,-0.15549053045847652,0.5784900756135186
2020-06-08,-0.013557088226899843,0.5765037976320732
2020-06-09,-0.10739800406708952,0.6445885769834491
2020-06-10,-0.23690167748216454,0.6036136630449787
2020-06-11,-0.18332981008969187,0.6400135184723978
2020-06-12,-0.0652479916438455,0.6213556811827987
2020-06-15,-0.07726522303751492,0.6765192163101745
2020-06-16,0.004643470681843465,0.6369313246701661
2020-06-17,-0.12720157863268233,0.6330431938908793
2020-06-18,-0.08664916902103088,0.6704427901170145
2020-06-19,-0.09996226600060855,0.6436205446595998
2020-06-22,-0.08570514992731118,0.6740208287009766
2020-06-23,-0.1342300128878675,0.6471041956621876
2020-06-24,-0.10381858052968287,0.6634588131150556
2020-06-25,-0.15554422228101275,0.653706664621387
2020-06-26,-0.0814760745237611,0.6323747938348381
2020-06-29,-0.01964793897457065,0.6593602389698104
2020-06-30,-0.0976785361578709,0.6025380874655303
2020-07-01,-0.19482565875991262,0.6819542560201584
2020-07-02,-0.04640067703504282,0.6444906185035476
2020-07-03,-0.14525745641292317,0.6158679017543808
2020-07-06,-0.13146698499982104,0.5834822684332946
2020-07-07,0.04153703036399338,0.6670715276140244
2020-07-08,7.179783619314717e-05,0.6512318632818382
2020-07-09,-0.13775203320546553,0.6525947661942573
2020-07-10,-0.03735847160482662,0.6048313034685827
2020-07-13,-0.02026933732474696,0.6399226679563152
2020-07-14,-0.06141567293072237,0.6860792201595799
2020-07-15,-0.0612513235219365,0.6302480661466977
2020-07-16,0.07482584645046891,0.6449451135229514
2020-07-17,-0.016152354793476167,0.640815449402699
2020-07-20,-0.04186804358948994,0.5939605115792166
2020-07-21,-0.14834709761179912,0.6235221491096631
2020-07-22,0.0026903407603304096,0.5771155037321027
2020-07-23,0.03385011055993003,0.6034571108457185
2020-07-24,0.002303139953260312,0.6301485979000381
2020-07-27,0.04874008133135707,0.5932376192469657
2020-07-28,0.13847706162793383,0.6394362951966923
2020-07-29,0.024023455069025302,0.6266632554736599
2020-07-30,0.02706275774302177,0.6234726221850981
2020-08-03,-0.02177748625197858,0.6665957412588641
2020-08-04,-0.05129708123878987,0.6499918018215621
2020-08-05,0.07357666915873029,0.6440066640476516
2020-08-06,-0.04968910379752239,0.5728686582808775
2020-08-07,0.03986483336792495,0.6271582207816665
2020-08-10,0.02970940026037375,0.6158444887076718
2020-08-11,0.05099152123087623,0.6291196773674553
2020-08-12,-0.08508730022761866,0.689191185791828
2020-08-13,-0.022019439710843327,0.5853064189146494
2020-08-14,0.06575130143064628,0.6295303792351998
2020-08-18,-0.04799790696489193,0.6192336655754739
2020-08-19,-0.03900174797063021,0.6116418300308635
2020-08-24,0.12965301656495226,0.6592057554409123
2020-08-25,0.12858617465299768,0.5955923255016629
2020-08-26,0.07674829843898684,0.5988323828026061
2020-08-27,0.05054467749299647,0.604477323163183
2020-08-28,-0.00013717800509849658,0.571439502558132
2020-08-31,-0.07933144301258871,0.5462143037472292
2020-09-01,0.12752968484278765,0.5769418440007776
2020-09-02,-0.007886344501000751,0.5931100259900536
2020-09-03,0.05235350196903955,0.6250284392412611
2020-09-04,-0.10804100264652186,0.6258284405262688
