Date,Stock_Name,Close,High,Low,Open,Volume,Prev_Close,Return,Intraday_Return,Gap_Return,Range_Pct,Return_5D,Return_20D,Volatility20,AvgVolume20,VolumeRatio,Peak20,Peak60,Drawdown20,Drawdown60,TR,ATR14,ATR_Pct,VolRank,ATRRank,MoveRank,DrawdownRank,LiquidityRiskRank,RiskScore
2024-11-07,ACES,775.4133911132812,803.4403811535203,766.0710610998682,798.7692161468138,36999100,1253.779541015625,-0.3815392852198265,-0.0292397660818714,-0.36291095043729116,0.04819277108433738,-0.01298074017123474,-0.3440965153465757,0.892297108517431,45600525.0,0.811374430447895,1402.94287109375,1411.005859375,-0.44729510581656096,-0.45045345775052426,487.7084799157568,523.5966620793866,0.6752484134013281,0.8275862068965517,0.896551724137931,0.7586206896551724,0.6896551724137931,0.4482758620689655,73.44827586206897
2023-06-14,ADRO,943.4951171875,947.6884288194444,922.528559027778,926.7218706597224,43317300,1093.251708984375,-0.13698271913610638,0.01809954751131193,-0.15232524857368657,0.026666666666666426,1.6392404533800415,-0.30028183866139857,1.896782783410605,82949755.0,0.522211307314892,2067.75927734375,2410.0,-0.5437113364571544,-0.608508250129668,170.723149956597,767.8831018601261,0.8138707746036223,0.9655172413793104,0.9655172413793104,0.3103448275862069,0.8620689655172413,0.2413793103448276,70.68965517241381
2023-02-17,AKRA,996.25537109375,1003.8027602687026,981.1605927438446,1003.8027602687026,28153400,343.0629272460937,1.9040018374794938,-0.007518796992481147,1.9260018513997932,0.02272727272727277,2.087102986505099,2.2826660013910858,1.3164598577863798,53742555.0,0.5238567462972313,1282.5321044921875,1432.5640869140625,-0.2232121382347676,-0.3045648846050446,660.739833022609,398.72787300906384,0.40022657300338166,0.9310344827586207,0.6551724137931034,0.9310344827586207,0.4482758620689655,0.3793103448275862,69.3103448275862
2025-08-29,AMRT,2200.0,2250.0,2200.0,2230.0,35354400,1927.4578857421875,0.14139977650036561,-0.013452914798206317,0.15696431890718876,0.022727272727272728,0.1253196930946292,-0.0393013100436681,1.006925690079057,23010910.0,1.536419029060563,2843.512939453125,3128.7294921875,-0.22630912999358033,-0.2968391784929174,322.5421142578125,811.4415216583644,0.36883705529925653,0.896551724137931,0.6206896551724138,0.3448275862068966,0.3793103448275862,0.6206896551724138,62.58620689655172
2021-08-13,ANTM,1977.819091796875,2002.749584550617,1952.888599043133,2002.749584550617,66587000,1658.6474609375,0.19242885445890523,-0.012448132780082943,0.20745947027141254,0.025210084033613425,0.21720658036892204,0.37503028669480787,0.8499464632331114,97425665.0,0.683464670218058,3286.3701171875,4050.0,-0.3981751837831622,-0.5116496069637346,344.1021236131171,676.9568057657434,0.34227438119768533,0.7586206896551724,0.5862068965517241,0.4482758620689655,0.7586206896551724,0.20689655172413793,56.72413793103448
2025-03-11,ASII,4207.39599609375,4207.39599609375,4119.741912841797,4137.272729492188,35571600,4181.099609375,0.0062893471037588355,0.016949152542372836,-0.010482142014637041,0.020833333333333332,0.05129370753509477,-0.07673246056255723,0.37973859663492804,46673875.0,0.7621308494312932,6925.32080078125,7044.31298828125,-0.39246193539234875,-0.40272443840966843,87.65408325195312,1084.729111988082,0.2578148367767548,0.4482758620689655,0.41379310344827586,0.034482758620689655,0.6206896551724138,0.41379310344827586,39.827586206896555
2026-01-26,BBCA,7329.15673828125,7353.108230890012,7209.399275237439,7233.350767846201,213044100,5459.033203125,0.34257412724394243,0.013245033112582849,0.32502413865251834,0.019607843137254888,-0.0722203349475713,0.24800094784168558,0.30018263785606897,118027370.0,1.8050397971250227,8994.20703125,9418.2412109375,-0.18512474609307983,-0.22181258961919292,1894.0750277650122,1506.4810595866709,0.20554630135252824,0.2413793103448276,0.27586206896551724,0.7241379310344828,0.13793103448275862,0.10344827586206896,27.75862068965517
2023-01-04,BBNI,3545.5830078125,3593.887953423025,3535.922018690395,3584.2269643009195,48118400,4646.0693359375,-0.23686394854521475,-0.010781671159029615,-0.22854638940129346,0.016348773841962042,0.7630741502735594,0.019444381462516258,0.4309066395199946,42989495.0,1.119306007200131,4751.66259765625,4751.66259765625,-0.2538226494529824,-0.2538226494529824,1110.147317247105,1113.843223564915,0.3141495266393769,0.4827586206896552,0.5517241379310345,0.5517241379310345,0.2413793103448276,0.4827586206896552,47.06896551724139
2023-09-14,BBRI,4263.78173828125,4263.78173828125,4185.186683197725,4185.186683197725,76831700,4471.52099609375,-0.04645829864021167,0.018779342723004522,-0.06403510419523073,0.01843317972350223,0.3162713369479617,0.3223092752032968,0.30657697786454075,189455247.15,0.4055401006611814,4985.33837890625,5175.37158203125,-0.14473574024142866,-0.17613997938138692,286.33431289602504,914.7741103971039,0.2145452479858534,0.27586206896551724,0.3103448275862069,0.10344827586206896,0.06896551724137931,0.034482758620689655,17.758620689655174
2025-06-17,BMRI,4592.00927734375,4704.558524337469,4592.00927734375,4659.538825539981,70657700,2195.648193359375,1.0914139574964903,-0.01449275362318836,1.1221700451067327,0.024509803921568537,-0.02381140211110222,1.0223982503752573,0.8401179996305133,100610980.0,0.7022861719466404,6053.8671875,6053.8671875,-0.24147505468482822,-0.24147505468482822,2508.910330978094,1377.7288710433525,0.3000274580978853,0.7241379310344828,0.4827586206896552,0.896551724137931,0.1724137931034483,0.1724137931034483,50.86206896551724
